,Tuit,Titular,Link,Seneca,Fecha
0,"""¿Dudas, acaso, de que la justicia es un bien tanto del que la administra como de aquel al que se paga la deuda?""
(Cartas a Lucilio)

https://www.elmundo.es/comunidad-valenciana/2021/05/21/60a76b73fdddff53328b4620.html","Abren juicio oral contra Rafa Rubio, Alfonso Rus y otra veintena de acusados por los trabajadores 'zombies' de empresas públicas",https://www.elmundo.es/comunidad-valenciana/2021/05/21/60a76b73fdddff53328b4620.html,"¿Dudas, acaso, de que la justicia es un bien tanto del que la administra como de aquel al que se paga la deuda?",2021-05-21 11:54:37.705951
1,"""No se enteraba de que, suscitando peligros a los demás, incurría él en el mismo riesgo; no pensaba en lo muy gravosas que eran sus apetencias, aun cuando no fuesen superfluas.""
(Séneca, Epístolas a Lucilio)

https://www.elconfidencial.com/espana/2021-05-21/cadaver-hallado-playa-tarajal-joven-magrebi-crisis-migratoria_3092463/",El cadáver hallado en la playa del Tarajal (Ceuta) es de un joven de unos 16 años,https://www.elconfidencial.com/espana/2021-05-21/cadaver-hallado-playa-tarajal-joven-magrebi-crisis-migratoria_3092463/,"No se enteraba de que, suscitando peligros a los demás, incurría él en el mismo riesgo; no pensaba en lo muy gravosas que eran sus apetencias, aun cuando no fuesen superfluas.",2021-05-21 17:33:57.102285
2,"""C.cerón hace de él el interlocutor principal del ep.sodio que cierra sus libros De república: «El suefto de Escipión».""
(Séneca, Epístolas a Lucilio)

https://www.elconfidencial.com/espana/2021-05-22/entrevista-borja-semper-aznar-mediocre-gente-grande_3093615/","Borja Sémper: ""Aznar era un mediocre pero se rodeó de gente buena, y eso le hizo grande""",https://www.elconfidencial.com/espana/2021-05-22/entrevista-borja-semper-aznar-mediocre-gente-grande_3093615/,C.cerón hace de él el interlocutor principal del ep.sodio que cierra sus libros De república: «El suefto de Escipión».,2021-05-22 10:54:59.722789
3,""" La muerte va en busca de todos; el asesino sigue a su víctima""
(Séneca, Epístolas a Lucilio)

https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html","Un año y medio sin rastro de Enoc, el niño de 13 años de Badalona secuestrado con violencia en Honduras",https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html, La muerte va en busca de todos; el asesino sigue a su víctima,2021-05-22 16:34:08.381057
4,""" La muerte va en busca de todos; el asesino sigue a su víctima""
(Séneca, Epístolas a Lucilio)

https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html","Un año y medio sin rastro de Enoc, el niño de 13 años de Badalona secuestrado con violencia en Honduras",https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html, La muerte va en busca de todos; el asesino sigue a su víctima,2021-05-22 17:16:28.588043
5,""" La muerte va en busca de todos; el asesino sigue a su víctima""
(Séneca, Epístolas a Lucilio)

https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html","Un año y medio sin rastro de Enoc, el niño de 13 años de Badalona secuestrado con violencia en Honduras",https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html, La muerte va en busca de todos; el asesino sigue a su víctima,2021-05-22 19:16:27.766027
6,"""La muerte va en busca de todos; el asesino sigue a su víctima""
(Séneca, Epístolas a Lucilio)

https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html","Un año y medio sin rastro de Enoc, el niño de 13 años de Badalona secuestrado con violencia en Honduras",https://www.elmundo.es/cataluna/2021/05/22/60a642b1fc6c83735a8b45af.html,La muerte va en busca de todos; el asesino sigue a su víctima,2021-05-22 19:19:29.378628
7,"""Por el contrario, solemos decir: «la fiebre lo ha cogido»; de igual modo hay que decir: «las riquezas lo han cogido»""
(Séneca, Epístolas a Lucilio)

https://www.elconfidencial.com/espana/2021-05-22/moreno-descarta-adelanto-siglas-andaluces_3094171/","Moreno descarta un adelanto electoral: ""Por encima de mí y de las siglas están los andaluces""",https://www.elconfidencial.com/espana/2021-05-22/moreno-descarta-adelanto-siglas-andaluces_3094171/,"Por el contrario, solemos decir: «la fiebre lo ha cogido»; de igual modo hay que decir: «las riquezas lo han cogido»",2021-05-22 19:35:27.821393
8,"""Por el contrario, solemos decir: «la fiebre lo ha cogido»; de igual modo hay que decir: «las riquezas lo han cogido»""
(Séneca, Epístolas a Lucilio)

https://www.elconfidencial.com/espana/2021-05-22/moreno-descarta-adelanto-siglas-andaluces_3094171/","Moreno descarta un adelanto electoral: ""Por encima de mí y de las siglas están los andaluces""",https://www.elconfidencial.com/espana/2021-05-22/moreno-descarta-adelanto-siglas-andaluces_3094171/,"Por el contrario, solemos decir: «la fiebre lo ha cogido»; de igual modo hay que decir: «las riquezas lo han cogido»",2021-05-22 18:49:32.891693
9,"""fricano: a quien ningún conciudadano, ni enemigo podrá pagar por sus gestas el premio a la obra realizada (opis pretium)""
(Séneca, Epístolas morales a Lucilio)

https://elpais.com/internacional/2021-05-22/la-corrupcion-resquebraja-el-partido-de-mandela.html",La corrupción resquebraja el partido de Mandela,https://elpais.com/internacional/2021-05-22/la-corrupcion-resquebraja-el-partido-de-mandela.html,"fricano: a quien ningún conciudadano, ni enemigo podrá pagar por sus gestas el premio a la obra realizada (opis pretium)",2021-05-22 21:02:31.250399
